bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.003547683752438687,0.013635013493119744,564,0.011028717618711863,0.0070921985815602835,4,-0.00393651903715158
1,0.013635013493119744,0.02463660762144424,564,0.01855412510459434,0.015957446808510637,9,-0.0025966782960837043
2,0.02463660762144424,0.032294854464487925,564,0.027965251980839066,0.02127659574468085,12,-0.006688656236158216
3,0.032294854464487925,0.040801110945983196,562,0.03606290798603148,0.03914590747330961,22,0.0030829994872781305
4,0.040801110945983196,0.05291818082238578,565,0.046048023985656404,0.04070796460176991,23,-0.005340059383886493
5,0.05291818082238578,0.06817325800742972,564,0.05969656011846899,0.06205673758865248,35,0.0023601774701834943
6,0.06817325800742972,0.09559267119904177,564,0.08089952402168199,0.0851063829787234,48,0.004206858957041412
7,0.09559267119904177,0.1378175818585321,564,0.11416723143836648,0.11170212765957446,63,-0.0024651037787920133
8,0.1378175818585321,0.21507049133052536,564,0.17208282217259735,0.17553191489361702,99,0.0034490927210196753
9,0.21507049133052536,0.8639866383805243,564,0.35997420573748495,0.3900709219858156,220,0.030096716248330657
