bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.0002589771099122792,0.025370340040144074,564,0.018879352450231316,0.014184397163120567,8,-0.004694955287110749
1,0.025370340040144074,0.03330872680560141,564,0.029274411734993438,0.01773049645390071,10,-0.011543915281092727
2,0.03330872680560141,0.04145311927159757,564,0.037268675105081556,0.030141843971631204,17,-0.007126831133450352
3,0.04145311927159757,0.05177341539806088,564,0.04638758028414097,0.031914893617021274,18,-0.014472686667119698
4,0.05177341539806088,0.06465963268566939,563,0.057804603170010384,0.05150976909413854,29,-0.006294834075871843
5,0.06465963268566939,0.08262400755178086,564,0.07313156074265252,0.07801418439716312,44,0.004882623654510601
6,0.08262400755178086,0.10903803578213833,564,0.0944863826871001,0.13297872340425532,75,0.03849234071715521
7,0.10903803578213833,0.14615052142239252,564,0.12631439182458032,0.13297872340425532,75,0.006664331579674998
8,0.14615052142239252,0.20412224436356385,564,0.17127907441425738,0.16666666666666666,94,-0.004612407747590724
9,0.20412224436356385,0.8718374827763717,564,0.2973628799032951,0.2925531914893617,165,-0.004809688413933366
