bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,1.1008282868075606e-05,0.015862634918902108,564,0.010319233609460235,0.012411347517730497,7,0.0020921139082702624
1,0.015862634918902108,0.024502622239615624,564,0.020106418988661737,0.014184397163120567,8,-0.00592202182554117
2,0.024502622239615624,0.03468782815212165,564,0.0292687947708478,0.030141843971631204,17,0.0008730492007834045
3,0.03468782815212165,0.045673639425111615,564,0.04000261096837206,0.024822695035460994,14,-0.015179915932911063
4,0.045673639425111615,0.05907542224135866,563,0.051957182364012,0.04085257548845471,23,-0.01110460687555729
5,0.05907542224135866,0.07478087767742418,564,0.06631053616698622,0.05673758865248227,32,-0.009572947514503952
6,0.07478087767742418,0.09787072897368213,564,0.08550288932060886,0.08687943262411348,49,0.0013765433035046182
7,0.09787072897368213,0.13328549087103667,564,0.1137930873727029,0.12943262411347517,73,0.015639536740772272
8,0.13328549087103667,0.20141632253804187,564,0.16335838930566654,0.19148936170212766,108,0.028130972396461118
9,0.20141632253804187,0.9619649247153192,564,0.350485910773402,0.3617021276595745,204,0.01121621688617247
