bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,1.9216396352769006e-05,0.016753826288292636,564,0.011189011577501278,0.008865248226950355,5,-0.002323763350550923
1,0.016753826288292636,0.02520520763231933,564,0.02097788011210679,0.01773049645390071,10,-0.0032473836582060794
2,0.02520520763231933,0.03459506958245386,564,0.029813650320641052,0.03368794326241135,19,0.003874292941770295
3,0.03459506958245386,0.044733539952513196,564,0.039490207740660095,0.026595744680851064,15,-0.012894463059809031
4,0.044733539952513196,0.05690250005911102,563,0.05055946253162913,0.03374777975133215,19,-0.01681168278029698
5,0.05690250005911102,0.07185689860803396,564,0.06405435387334782,0.0673758865248227,38,0.003321532651474876
6,0.07185689860803396,0.09302706580853272,564,0.08174673107706713,0.07446808510638298,42,-0.007278645970684158
7,0.09302706580853272,0.12805413503845456,564,0.10888287933303645,0.12411347517730496,70,0.015230595844268516
8,0.12805413503845456,0.19971568379253235,564,0.15836887073445607,0.19148936170212766,108,0.033120490967671584
9,0.19971568379253235,0.9875308343752253,564,0.3575406597849929,0.37056737588652483,209,0.013026716101531943
