bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.00021330535333105138,0.014115481295628401,564,0.00918600392423715,0.012411347517730497,7,0.003225343593493347
1,0.014115481295628401,0.021909629329012553,564,0.018029935747650293,0.005319148936170213,3,-0.01271078681148008
2,0.021909629329012553,0.030660288356561607,564,0.02632119591275362,0.02304964539007092,13,-0.0032715505226827007
3,0.030660288356561607,0.040277429718952686,564,0.03538294347730636,0.031914893617021274,18,-0.003468049860285087
4,0.040277429718952686,0.0524424713443423,563,0.04612266901049602,0.015985790408525755,9,-0.030136878601970264
5,0.0524424713443423,0.06687719528564737,564,0.05933238421407298,0.06028368794326241,34,0.0009513037291894247
6,0.06687719528564737,0.08805195884547078,564,0.07672713952792688,0.06382978723404255,36,-0.012897352293884334
7,0.08805195884547078,0.12498381752867957,564,0.10430565359315444,0.14184397163120568,80,0.037538318038051244
8,0.12498381752867957,0.20675736216493068,564,0.16082767036529086,0.18262411347517732,103,0.02179644310988646
9,0.20675736216493068,0.9945912451345047,564,0.385431594221183,0.41134751773049644,232,0.025915923509313432
