bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.00023725262491514388,0.014399104660973409,564,0.009327182386914682,0.012411347517730497,7,0.0030841651308158146
1,0.014399104660973409,0.02234077956714899,564,0.01833159191930142,0.0035460992907801418,2,-0.01478549262852128
2,0.02234077956714899,0.03089576142299747,564,0.02658558027533094,0.024822695035460994,14,-0.0017628852398699456
3,0.03089576142299747,0.04049726827912179,564,0.035510824481857724,0.030141843971631204,17,-0.00536898051022652
4,0.04049726827912179,0.05233851654874918,563,0.04623409216399668,0.023090586145648313,13,-0.02314350601834837
5,0.05233851654874918,0.06676024403163597,564,0.059318721454535824,0.0549645390070922,31,-0.004354182447443622
6,0.06676024403163597,0.08779850112806234,564,0.07660330456296695,0.06382978723404255,36,-0.0127735173289244
7,0.08779850112806234,0.12637867584669668,564,0.10436881048178742,0.13120567375886524,74,0.02683686327707782
8,0.12637867584669668,0.20747310697052737,564,0.16065781818522729,0.19680851063829788,111,0.03615069245307059
9,0.20747310697052737,0.9940592036633138,564,0.3857267713065672,0.4078014184397163,230,0.022074647133149106
