bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.009288420841433312,0.015650589602395203,564,0.012688921230166265,0.014184397163120567,8,0.001495475932954302
1,0.015650589602395203,0.024067720307164173,564,0.01946662140043771,0.02127659574468085,12,0.0018099743442431399
2,0.024067720307164173,0.03379252314910808,564,0.028780426030792505,0.02304964539007092,13,-0.005730780640721585
3,0.03379252314910808,0.046637216668530705,564,0.03929910906506507,0.024822695035460994,14,-0.014476414029604076
4,0.046637216668530705,0.06443638754091977,563,0.05502943808144813,0.055062166962699825,31,3.2728881251692377e-05
5,0.06443638754091977,0.10859326415788352,564,0.08352271552113184,0.09397163120567376,53,0.010448915684541912
6,0.10859326415788352,0.1309588579888157,564,0.12121496530432416,0.12056737588652482,68,-0.0006475894177993408
7,0.1309588579888157,0.14834561756883455,564,0.1395403802222685,0.14716312056737588,83,0.007622740345107376
8,0.14834561756883455,0.17649910885772851,564,0.15890325907142666,0.1702127659574468,96,0.011309506886020143
9,0.17649910885772851,0.6888212861379285,564,0.28691125041977183,0.2783687943262411,157,-0.008542456093530715
