bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.005686851216621717,0.015956337925536957,564,0.013092866436793393,0.0070921985815602835,4,-0.0060006678552331095
1,0.015956337925536957,0.02438674665494354,564,0.020322006060272416,0.015957446808510637,9,-0.004364559251761779
2,0.02438674665494354,0.03293747303587739,564,0.028562748367149907,0.030141843971631204,17,0.0015790956044812975
3,0.03293747303587739,0.04230684030610276,564,0.03697673201593768,0.030141843971631204,17,-0.006834888044306476
4,0.04230684030610276,0.055448184682813206,563,0.04866229310947425,0.03907637655417407,22,-0.00958591655530018
5,0.055448184682813206,0.07210625668644591,564,0.062832121281684,0.06028368794326241,34,-0.002548433338421592
6,0.07210625668644591,0.09811064661616255,564,0.08428239635944716,0.08156028368794327,46,-0.002722112671503893
7,0.09811064661616255,0.13839839635053044,564,0.1157759611357732,0.12056737588652482,68,0.004791414750751621
8,0.13839839635053044,0.21041266127014582,564,0.17173193963333555,0.20212765957446807,114,0.03039571994113252
9,0.21041266127014582,0.8930789749343226,564,0.3389516520243097,0.3617021276595745,204,0.022750475635264777
