bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.00018,0.0150288032,564,0.009329368491312056,0.014184397163120567,8,0.004855028671808511
1,0.0150288032,0.023424704800000005,564,0.019808754636524824,0.014184397163120567,8,-0.005624357473404257
2,0.023424704800000005,0.030160625000000003,564,0.02676237762056738,0.015957446808510637,9,-0.010804930812056742
3,0.030160625000000003,0.038642514,564,0.03431728368439716,0.02304964539007092,13,-0.01126763829432624
4,0.038642514,0.049886208,563,0.04403540478152753,0.03019538188277087,17,-0.01384002289875666
5,0.049886208,0.0634869452,564,0.056524916787234036,0.040780141843971635,23,-0.015744774943262402
6,0.0634869452,0.08237504600000002,564,0.07220897989716311,0.07446808510638298,42,0.002259105209219861
7,0.08237504600000002,0.11503316360000002,564,0.09689467253368794,0.10638297872340426,60,0.009488306189716314
8,0.11503316360000002,0.2054240819999999,564,0.1520538804379433,0.2198581560283688,124,0.06780427559042551
9,0.2054240819999999,0.98309916,564,0.3832186120744681,0.4095744680851064,231,0.02635585601063828
