key,модель,набор признаков,ECE,средний прогноз,фактическая доля голов
random_forest@geometry,Случайный лес,geometry,0.00621275397470747,0.09454271453476362,0.0948749778329491
gradient_boosting@geometry_shot_flags,Градиентный бустинг,geometry_shot_flags,0.006423278597586672,0.09265974232678732,0.0948749778329491
decision_tree@geometry_shot_flags,Дерево решений,geometry_shot_flags,0.006694019991677804,0.09291817480924489,0.0948749778329491
random_forest@geometry_shot_flags,Случайный лес,geometry_shot_flags,0.00915725236052587,0.0921267781113897,0.0948749778329491
logistic@geometry_shot,Логистическая регрессия,geometry_shot,0.010110616218969644,0.09311780334651575,0.0948749778329491
logistic@geometry,Логистическая регрессия,geometry,0.010360182262167035,0.09522552614705576,0.0948749778329491
logistic@geometry_shot_flags,Логистическая регрессия,geometry_shot_flags,0.01111194614102373,0.09226976615244827,0.0948749778329491
random_forest@geometry_shot_flags_defensive_no_visible,Случайный лес,geometry_shot_flags_defensive_no_visible,0.011501417752757793,0.0937520357527742,0.0948749778329491
random_forest@geometry_shot,Случайный лес,geometry_shot,0.012840377710162602,0.0930989579905415,0.0948749778329491
random_forest@geometry_shot_flags_defensive,Случайный лес,geometry_shot_flags_defensive,0.013306816804825886,0.09358896240582378,0.0948749778329491
logistic@geometry_shot_flags_defensive_no_visible,Логистическая регрессия,geometry_shot_flags_defensive_no_visible,0.015032055016212452,0.09227463293829798,0.0948749778329491
logistic@geometry_shot_flags_defensive,Логистическая регрессия,geometry_shot_flags_defensive,0.015188544593192292,0.0921748842858035,0.0948749778329491
statsbomb_xg,statsbomb_xg (benchmark),—,0.01680495530659691,0.08952349035788261,0.0948749778329491
dummy@geometry,DummyClassifier,geometry,,0.09535984125772723,0.0948749778329491
