подгруппа,n,доля_голов,log_loss_без_контекста,log_loss_с_контекстом,log_loss_statsbomb,улучшение,brier_без_контекста,brier_с_контекстом
Удары головой,958,0.11169102296450939,0.3046490741371594,0.29933653140597005,0.30062612536191247,0.0053125427311893625,0.088143744425738,0.08701137689298101
Удары ногой,4663,0.09049967831867896,0.2433791196024756,0.23018172771981352,0.22687583841691766,0.013197391882662085,0.06845737911933852,0.06521425544473779
Острый угол (< 15°),1439,0.015288394718554551,0.0829957085741459,0.08019801642300009,0.08017225783826182,0.0027976921511458086,0.01567610374063024,0.015402467368429117
Центральная позиция (> 30°),1426,0.20897615708274894,0.43125323994888015,0.41750384723951417,0.41528533769929343,0.013749392709365982,0.1369956388342745,0.13186225488628053
Ближние удары (< 12 ярдов),1319,0.21304018195602728,0.4391593947092687,0.42396706246857896,0.42179123885654896,0.015192332240689721,0.13882919927101336,0.133492512867738
Средняя дистанция (12–20),1648,0.10618932038834951,0.31040069567048184,0.2921872339029216,0.2828368287645842,0.018213461767560224,0.08937371961443669,0.08501053662185258
Дальние удары (> 20 ярдов),2672,0.029565868263473054,0.1290019639299467,0.12272713291711508,0.1247306882620336,0.006274831012831619,0.028495000790288747,0.02775401968099328
Open play,5375,0.09674418604651162,0.25621594686851484,0.24405929021704267,0.24095063735956077,0.01215665665147217,0.07295618109768985,0.07000548364075451
Стандарты,264,0.056818181818181816,0.22092470185238514,0.2153232238863546,0.22965326168309616,0.005601477966030527,0.05455595634328365,0.05323202592393169
Открытый момент (0 в конусе),2694,0.14105419450631032,0.3315082175479258,0.31647165270604594,0.30947319222017583,0.015036564841879874,0.10040143944403705,0.09625127311759714
Плотная оборона (2+ в конусе),973,0.047276464542651594,0.18073393102370042,0.1746443699963934,0.18010969733729543,0.006089561027307011,0.04419169639004026,0.04344195910936114
Под давлением,1528,0.09620418848167539,0.2680282831049934,0.2594305001193542,0.25325574646688953,0.00859778298563918,0.07594709281665345,0.07456258566480005
Без давления,4111,0.09438092921430309,0.2495591386822834,0.23650065965464093,0.23565150967904872,0.013058479027642483,0.07066287717121464,0.06723451678841134
Ближайший соперник < 2 ярдов,2330,0.10042918454935622,0.27164971480280947,0.2604180077031541,0.25613500687705554,0.011231707099655375,0.07752066966673957,0.07501941890005913
Ближайший соперник > 5 ярдов,827,0.08101571946795647,0.22199546528321495,0.2076458981923174,0.20800442735691174,0.014349567090897547,0.0609632264746432,0.056110960315126426
Вратарь вышел (> 3 ярдов),1652,0.1440677966101695,0.3533423475414507,0.3309677526341726,0.3265860670141726,0.02237459490727811,0.10618023930096193,0.1005589269648149
