признак,коэффициент,модуль
num__shot_distance,-1.692393145846566,1.692393145846566
cat__shot_type_Open Play,-1.3729778074485917,1.3729778074485917
cat__body_part_Head,-1.0203040500286484,1.0203040500286484
cat__shot_technique_Backheel,-0.8936959631036817,0.8936959631036817
cat__shot_technique_Overhead Kick,-0.7266255346475344,0.7266255346475344
num__goalkeeper_distance_to_shot,0.6534911159941572,0.6534911159941572
cat__shot_technique_Diving Header,0.6163162770839872,0.6163162770839872
num__shot_angle,0.40917097156338145,0.40917097156338145
num__goalkeeper_distance_to_goal_line,0.40487481408263326,0.40487481408263326
cat__body_part_Other,-0.3839197160395903,0.3839197160395903
num__opponents_in_shot_cone,-0.3227630148621642,0.3227630148621642
cat__shot_technique_Half Volley,-0.27726865923581195,0.27726865923581195
cat__shot_type_infrequent_sklearn,0.26232308407598565,0.26232308407598565
cat__play_pattern_From Goal Kick,-0.2499611924044763,0.2499611924044763
cat__shot_technique_Lob,0.23153464372440685,0.23153464372440685
cat__shot_technique_Volley,-0.22968468567531972,0.22968468567531972
cat__play_pattern_From Throw In,-0.17918191709354073,0.17918191709354073
num__nearest_opponent_distance,0.1730890584910306,0.1730890584910306
cat__play_pattern_From Corner,-0.15391011882806652,0.15391011882806652
cat__play_pattern_From Keeper,-0.14654473712504099,0.14654473712504099
cat__play_pattern_Regular Play,-0.14225325314366663,0.14225325314366663
cat__body_part_Right Foot,0.12521543422752063,0.12521543422752063
cat__play_pattern_From Counter,-0.12389120092599741,0.12389120092599741
cat__shot_technique_Normal,0.11850762100312005,0.11850762100312005
cat__body_part_Left Foot,0.11809203098988248,0.11809203098988248
num__opponents_within_2y,-0.1049708799728297,0.1049708799728297
cat__play_pattern_From Free Kick,-0.09987198116088536,0.09987198116088536
num__n_opponents_visible,-0.09732676926676008,0.09732676926676008
cat__play_pattern_From Kick Off,-0.09027459244657124,0.09027459244657124
num__goalkeeper_distance_to_shot_line,-0.08609650411292089,0.08609650411292089
num__one_on_one,0.07182938480296028,0.07182938480296028
num__goalkeeper_in_shot_cone,-0.07122916011404662,0.07122916011404662
num__has_goalkeeper,-0.06492806405262712,0.06492806405262712
num__opponents_within_1y,-0.06027853583846537,0.06027853583846537
num__opponents_within_5y,-0.05030392140192965,0.05030392140192965
cat__shot_type_Free Kick,-0.05026157747823034,0.05026157747823034
num__goalkeeper_lateral_offset,0.029688518934519605,0.029688518934519605
num__opponents_within_3y,-0.028389241131702034,0.028389241131702034
num__under_pressure,0.02559293831276813,0.02559293831276813
cat__play_pattern_Other,0.02497269227741102,0.02497269227741102
num__open_goal,0.024735659374085665,0.024735659374085665
num__opponents_between_shot_and_goal,0.016418725461624754,0.016418725461624754
num__is_first_time,-0.00840183815361762,0.00840183815361762
