признак,важность,модуль
num__goalkeeper_distance_to_shot,0.14613912390323255,0.14613912390323255
num__shot_angle,0.1384995382412107,0.1384995382412107
num__shot_distance,0.12132794546156848,0.12132794546156848
num__goalkeeper_distance_to_shot_line,0.07644663397038959,0.07644663397038959
num__goalkeeper_distance_to_goal_line,0.0717869005466188,0.0717869005466188
num__nearest_opponent_distance,0.06903360843986162,0.06903360843986162
num__opponents_between_shot_and_goal,0.05489438879846412,0.05489438879846412
num__goalkeeper_lateral_offset,0.05486403390814467,0.05486403390814467
num__n_opponents_visible,0.035920129894465976,0.035920129894465976
num__open_goal,0.03458686996188868,0.03458686996188868
num__goalkeeper_in_shot_cone,0.024779903056759475,0.024779903056759475
num__opponents_in_shot_cone,0.022568720246803797,0.022568720246803797
num__opponents_within_5y,0.018937870792468718,0.018937870792468718
cat__body_part_Head,0.01522528513032299,0.01522528513032299
num__opponents_within_3y,0.013739697231839937,0.013739697231839937
num__opponents_within_2y,0.012391917973229407,0.012391917973229407
num__is_first_time,0.008561992388057008,0.008561992388057008
cat__body_part_Right Foot,0.008488968022154165,0.008488968022154165
num__one_on_one,0.007771105323496557,0.007771105323496557
num__under_pressure,0.007310957473256376,0.007310957473256376
cat__play_pattern_Regular Play,0.00729540520171279,0.00729540520171279
cat__shot_technique_Normal,0.007140456582858507,0.007140456582858507
cat__body_part_Left Foot,0.006625829761910552,0.006625829761910552
num__opponents_within_1y,0.0048257508858974615,0.0048257508858974615
cat__play_pattern_From Corner,0.004719608626928903,0.004719608626928903
cat__play_pattern_From Free Kick,0.004681700753067552,0.004681700753067552
cat__play_pattern_From Throw In,0.004666132304229177,0.004666132304229177
cat__shot_technique_Half Volley,0.004385194639513366,0.004385194639513366
cat__play_pattern_From Counter,0.0029776000805054837,0.0029776000805054837
cat__shot_technique_Volley,0.002686316645711201,0.002686316645711201
cat__play_pattern_From Goal Kick,0.001160521557816407,0.001160521557816407
cat__shot_type_Open Play,0.0008561873203687403,0.0008561873203687403
cat__shot_technique_Lob,0.0008143912303108722,0.0008143912303108722
num__has_goalkeeper,0.000707981010739828,0.000707981010739828
cat__shot_type_Free Kick,0.0006641098532100107,0.0006641098532100107
cat__play_pattern_From Keeper,0.0006348382190171128,0.0006348382190171128
cat__shot_technique_Diving Header,0.00047552320021222077,0.00047552320021222077
cat__body_part_Other,0.00045923094820421575,0.00045923094820421575
cat__play_pattern_From Kick Off,0.0004118294652621517,0.0004118294652621517
cat__shot_technique_Overhead Kick,0.00024807428832260926,0.00024807428832260926
cat__shot_technique_Backheel,0.00019472852242858354,0.00019472852242858354
cat__play_pattern_Other,5.588132105963939e-05,5.588132105963939e-05
cat__shot_type_infrequent_sklearn,3.711681647919164e-05,3.711681647919164e-05
