модель,набор признаков,лига,n,n_goals,goal_rate,log_loss,brier,mean_predicted,roc_auc,pr_auc
Логистическая регрессия,geometry,La Liga,1361,145,0.106539309331374,0.29121341441158843,0.08497148755508832,0.09903699012200268,0.7817037205081669,0.3074203292058142
Логистическая регрессия,geometry,Ligue 1,1314,128,0.0974124809741248,0.28464021856690713,0.08018306475210589,0.09650136424614066,0.7318224336003372,0.2880491706509363
Логистическая регрессия,geometry,Premier League,1478,136,0.09201623815967523,0.2740060768495354,0.07630877706429107,0.09860896781063085,0.7334832778118698,0.2791140156960876
Логистическая регрессия,geometry,Serie A,1486,126,0.0847913862718708,0.2443570814120891,0.06756790199365527,0.08724128623395734,0.7835434173669467,0.33191321355351755
Логистическая регрессия,geometry_shot_flags,La Liga,1361,145,0.106539309331374,0.27817171116995626,0.08162431714736307,0.09900063422015373,0.8091197822141561,0.35912712638456146
Логистическая регрессия,geometry_shot_flags,Ligue 1,1314,128,0.0974124809741248,0.25960350263573984,0.07306504111319644,0.09162991595829419,0.7908871732715008,0.3967219550485269
Логистическая регрессия,geometry_shot_flags,Premier League,1478,136,0.09201623815967523,0.2524739152880107,0.07028348782987237,0.09533998454005024,0.7844086964144823,0.3813655806284009
Логистическая регрессия,geometry_shot_flags,Serie A,1486,126,0.0847913862718708,0.23056371974828027,0.06431029017621617,0.08361718804887873,0.8168475723622782,0.378482068892145
Логистическая регрессия,geometry_shot_flags_defensive,La Liga,1361,145,0.106539309331374,0.2600030128226748,0.07708079155122095,0.0981829655087555,0.846035617059891,0.4282357637152799
Логистическая регрессия,geometry_shot_flags_defensive,Ligue 1,1314,128,0.0974124809741248,0.2562968801851031,0.07232040009618854,0.09472614217694388,0.8032646500843171,0.40854330771170444
Логистическая регрессия,geometry_shot_flags_defensive,Premier League,1478,136,0.09201623815967523,0.24210948984236297,0.06779116535868464,0.09279500423635385,0.8107686069957044,0.4165452680856231
Логистическая регрессия,geometry_shot_flags_defensive,Serie A,1486,126,0.0847913862718708,0.2154697099735556,0.060700823677815756,0.08379945447402046,0.8536531279178338,0.444109816515179
Логистическая регрессия,geometry_shot_flags_defensive_no_visible,La Liga,1361,145,0.106539309331374,0.26070192645143414,0.07737491801959862,0.09841237762428702,0.8456102540834847,0.42327202593257995
Логистическая регрессия,geometry_shot_flags_defensive_no_visible,Ligue 1,1314,128,0.0974124809741248,0.2565587165540164,0.07240441661099013,0.09485392952099758,0.8029023503372681,0.4096863160986444
Логистическая регрессия,geometry_shot_flags_defensive_no_visible,Premier League,1478,136,0.09201623815967523,0.24259264625687338,0.067978906572145,0.09302435312676798,0.810587796966775,0.41441958390623945
Логистическая регрессия,geometry_shot_flags_defensive_no_visible,Serie A,1486,126,0.0847913862718708,0.2157718892473259,0.060899293481787284,0.08362675092897286,0.8541900093370681,0.4401908223377708
Случайный лес,geometry_shot_flags,La Liga,1361,145,0.106539309331374,0.27626957729155055,0.08128482117921701,0.09687305719439442,0.8106142241379309,0.36351889360568623
Случайный лес,geometry_shot_flags,Ligue 1,1314,128,0.0974124809741248,0.2637918597230227,0.07467931193632099,0.0939942171079269,0.7854592643338956,0.3724571866367467
Случайный лес,geometry_shot_flags,Premier League,1478,136,0.09201623815967523,0.25237692647753157,0.07014040068023544,0.0950917895874324,0.7858113439116331,0.3848901575241934
Случайный лес,geometry_shot_flags,Serie A,1486,126,0.0847913862718708,0.2265531563155753,0.06384071658245444,0.083179410927668,0.8299719887955181,0.38543271651779504
Случайный лес,geometry_shot_flags_defensive,La Liga,1361,145,0.106539309331374,0.257251553837737,0.07594228694674272,0.09964578141452426,0.8467332123411978,0.45264734752529534
Случайный лес,geometry_shot_flags_defensive,Ligue 1,1314,128,0.0974124809741248,0.2532624242872077,0.07217331796251734,0.09821335630356082,0.8166236298482294,0.4111459529687548
Случайный лес,geometry_shot_flags_defensive,Premier League,1478,136,0.09201623815967523,0.24623926619132774,0.06896356132784508,0.09506830863055853,0.804659419654598,0.4061074975835992
Случайный лес,geometry_shot_flags_defensive,Serie A,1486,126,0.0847913862718708,0.2186110485626387,0.06156449626437682,0.08248111720217248,0.8446195144724555,0.42562674949651935
statsbomb_xg (benchmark),—,La Liga,1361,145,0.106539309331374,0.2543281161819644,0.07484213166497497,0.09628220017127112,0.8561025408348457,0.46991199293820646
statsbomb_xg (benchmark),—,Ligue 1,1314,128,0.0974124809741248,0.25465418961590175,0.07174079808796925,0.0919285765697108,0.8080931176222598,0.41700237082852215
statsbomb_xg (benchmark),—,Premier League,1478,136,0.09201623815967523,0.2372503821459441,0.06615053186830393,0.08910908708552097,0.81904203559218,0.445375715329141
statsbomb_xg (benchmark),—,Serie A,1486,126,0.0847913862718708,0.21825430740331275,0.06118556042341435,0.08161878019515478,0.8469829598506069,0.4396125151538196
