key,model,feature_set,n_features,cv_log_loss,validation_n,validation_n_goals,validation_goal_rate,validation_log_loss,validation_brier,validation_mean_predicted,validation_roc_auc,validation_pr_auc,test_n,test_n_goals,test_goal_rate,test_log_loss,test_brier,test_mean_predicted,test_roc_auc,test_pr_auc,best_params
statsbomb_xg,statsbomb_xg (benchmark),—,0,,5642,534,0.09464728819567529,0.24995889147007785,0.07030318271821925,0.09050546354244948,0.8069811912869289,0.40072455954895886,5639,535,0.0948749778329491,0.24042173025216818,0.06824255697360693,0.08952349035788261,0.8345790730378226,0.4421878806376978,{}
logistic@geometry_shot_flags_defensive,Логистическая регрессия,geometry_shot_flags_defensive,24,0.25251947151655363,5642,534,0.09464728819567529,0.25033238117648154,0.07066910202780091,0.0934823671393338,0.8055733973879559,0.39858266609741594,5639,535,0.0948749778329491,0.24271395921663452,0.06922020383276707,0.0921748842858035,0.8300398441391029,0.42474741792810394,"{""C"": 1.0}"
logistic@geometry_shot_flags_defensive_no_visible,Логистическая регрессия,geometry_shot_flags_defensive_no_visible,23,0.25265956726714744,5642,534,0.09464728819567529,0.2499801195563049,0.07056350666607193,0.09374113989274951,0.8064283388911864,0.40008522370713373,5639,535,0.0948749778329491,0.24314992623542556,0.06941227892872512,0.09227463293829798,0.8299457270090529,0.42222986731136214,"{""C"": 1.0}"
random_forest@geometry_shot_flags_defensive,Случайный лес,geometry_shot_flags_defensive,24,0.25332818995476825,5642,534,0.09464728819567529,0.2519688757630468,0.07067539319850374,0.09403949636378939,0.8007355723122135,0.3966056306137219,5639,535,0.0948749778329491,0.24325303136751456,0.06944603252858372,0.09358896240582378,0.8296384730319631,0.42195194309275985,"{""max_depth"": 14, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
random_forest@geometry_shot_flags_defensive_no_visible,Случайный лес,geometry_shot_flags_defensive_no_visible,23,0.2528392780269421,5642,534,0.09464728819567529,0.25181513465540084,0.0706124474286107,0.09446628655904399,0.8005647306567651,0.3978761620616435,5639,535,0.0948749778329491,0.24365985637545784,0.06967875403576895,0.0937520357527742,0.829542524829344,0.4168437312853781,"{""max_depth"": 14, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
gradient_boosting@geometry_shot_flags,Градиентный бустинг,geometry_shot_flags,10,0.26035493117331254,5642,534,0.09464728819567529,0.2569351181750608,0.07206350455527154,0.09348988615244652,0.7890444672233319,0.3784969135901983,5639,535,0.0948749778329491,0.25233550511437614,0.07171725166893814,0.09265974232678732,0.8082682081856268,0.38162904802213726,"{""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15}"
random_forest@geometry_shot_flags,Случайный лес,geometry_shot_flags,10,0.26237195778412237,5642,534,0.09464728819567529,0.2567616901961699,0.07208672314452372,0.09352322137407683,0.7918037799266188,0.380105529154143,5639,535,0.0948749778329491,0.2539983128193986,0.0722277131683198,0.0921267781113897,0.8049391351478042,0.37516916197214767,"{""max_depth"": 14, ""min_samples_leaf"": 5, ""n_estimators"": 300}"
logistic@geometry_shot_flags,Логистическая регрессия,geometry_shot_flags,10,0.26121867208240485,5642,534,0.09464728819567529,0.2551519152146227,0.07188484798530889,0.09392351264302287,0.7950268580679789,0.37988978332412476,5639,535,0.0948749778329491,0.2545637233032979,0.07209474124396344,0.09226976615244827,0.8021928925087158,0.3796945171152446,"{""C"": 10.0}"
logistic@geometry_shot,Логистическая регрессия,geometry_shot,7,0.26378680680134725,5642,534,0.09464728819567529,0.25774810128521125,0.07288596130049277,0.0939588721337863,0.7923998926557152,0.3606779414703928,5639,535,0.0948749778329491,0.25629566633154466,0.07267948986502556,0.09311780334651575,0.800679511030381,0.3680628886036855,"{""C"": 10.0}"
random_forest@geometry_shot,Случайный лес,geometry_shot,7,0.2659402311076402,5642,534,0.09464728819567529,0.26202844398302194,0.07392783189585311,0.09374108721113936,0.7850003592807346,0.3494512594190892,5639,535,0.0948749778329491,0.2578257491998222,0.07355591915389043,0.0930989579905415,0.8017354905809627,0.3573234327870111,"{""max_depth"": 14, ""min_samples_leaf"": 20, ""n_estimators"": 300}"
decision_tree@geometry_shot_flags,Дерево решений,geometry_shot_flags,10,0.2684992999167875,5642,534,0.09464728819567529,0.2657126175176031,0.0743851695688674,0.09314850355144579,0.7609578790998331,0.3069280682868844,5639,535,0.0948749778329491,0.25996479843053905,0.07368406243218148,0.09291817480924489,0.7850687018427913,0.3170658970533535,"{""max_depth"": 5, ""min_samples_leaf"": 50}"
random_forest@geometry,Случайный лес,geometry,2,0.27766132543430516,5642,534,0.09464728819567529,0.2751170227114307,0.07728192778193407,0.09442898367848997,0.7449913332688094,0.2894410370368513,5639,535,0.0948749778329491,0.27205596986455405,0.07735568228750735,0.09454271453476362,0.75977280051563,0.2832653407609096,"{""max_depth"": 8, ""min_samples_leaf"": 50, ""n_estimators"": 300}"
logistic@geometry,Логистическая регрессия,geometry,2,0.2791392593667499,5642,534,0.09464728819567529,0.273205316918732,0.07692941613921835,0.09495758770669455,0.7537680483577205,0.2994583338012407,5639,535,0.0948749778329491,0.2728239597043918,0.07699893890944072,0.09522552614705576,0.7597041352942899,0.29824266792114684,"{""C"": 0.1}"
dummy@geometry,DummyClassifier,geometry,2,,5642,534,0.09464728819567529,0.3131630424449886,0.08568968676474632,0.09535984125772724,0.5,0.09464728819567529,5639,535,0.0948749778329491,0.3136753167403707,0.08587395150668721,0.09535984125772723,0.5,0.0948749778329491,{}
